2026-01-25 17:18:24 | user=175 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 17:51:24 | user=175 | LOGOUT | SUCCESS | session invalidated
2026-01-25 17:51:38 | user=176 | Signup | success |  new user login from google  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 17:51:50 | user=176 | CREATE_POST | SUCCESS | postId=86
2026-01-25 18:07:41 | user=176 | CREATE_POST | SUCCESS | postId=87
2026-01-25 18:10:46 | user=177 | Signup | success |  new user login from google  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:11:01 | user=177 | CREATE_POST | SUCCESS | postId=88
2026-01-25 18:12:54 | user=176 | CREATE_POST | SUCCESS | postId=89
2026-01-25 18:13:10 | user=176 | CREATE_POST | SUCCESS | postId=90
2026-01-25 18:14:46 | user=177 | comment creation  | SUCCESS | commentId=121
2026-01-25 18:14:50 | user=177 | comment creation  | SUCCESS | commentId=122
2026-01-25 18:14:58 | user=177 | EDIT_COMMENT | SUCCESS | commentId=121
2026-01-25 18:15:05 | user=177 | comment creation  | SUCCESS | commentId=123
2026-01-25 18:16:49 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:17:01 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:17:11 | user=176 | LOGOUT | SUCCESS | session invalidated
2026-01-25 18:17:14 | user=175 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:17:28 | user=175 | LOGOUT | SUCCESS | session invalidated
2026-01-25 18:17:41 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:17:45 | user=175 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:17:53 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:18:12 | user=175 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:18:31 | user=175 | LOGOUT | SUCCESS | session invalidated
2026-01-25 18:18:54 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:19:25 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:19:37 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:19:54 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:20:16 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:20:31 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:21:44 | user=177 | CREATE_POST | SUCCESS | postId=91
2026-01-25 18:22:06 | user=177 | CREATE_POST | SUCCESS | postId=92
2026-01-25 18:22:15 | user=177 | LOGOUT | SUCCESS | session invalidated
2026-01-25 18:22:59 | user=178 | Signup | SUCCESS | new user from   ip=0:0:0:0:0:0:0:1
2026-01-25 18:23:04 | user=178 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:23:24 | user=178 | CREATE_POST | SUCCESS | postId=93
2026-01-25 18:26:56 | user=178 | LOGOUT | SUCCESS | session invalidated
2026-01-25 18:27:12 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:28:35 | user=177 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:37:46 | user=178 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:41:18 | user=175 | LOGIN | SUCCESS | ip=0:0:0:0:0:0:0:1
2026-01-25 18:41:25 | user=175 | comment creation  | SUCCESS | commentId=124
2026-01-25 18:41:29 | user=175 | comment creation  | SUCCESS | commentId=125
2026-01-25 18:41:49 | user=175 | comment creation  | SUCCESS | commentId=126
2026-01-25 18:42:34 | user=175 | CREATE_POST | SUCCESS | postId=94
2026-01-25 18:46:43 | user=-1 | google signup | failure | ip=+request.getRemoteAddr()
2026-01-25 18:46:56 | user=176 | Google login | success |  from  ip= 0:0:0:0:0:0:0:1
2026-01-25 18:47:12 | user=176 | comment creation  | SUCCESS | commentId=127
2026-01-25 18:47:23 | user=176 | CREATE_POST | SUCCESS | postId=95
